epoch,loss,step,val_loss
0,1289.5621337890625,49,
0,960.3592529296875,99,
0,,108,1717.15185546875
1,1233.109130859375,149,
1,1282.2210693359375,199,
1,,217,2148.841064453125
2,1649.915771484375,249,
2,977.704833984375,299,
2,,326,2267.357421875
3,1850.0518798828125,349,
3,1368.034423828125,399,
3,,435,1214.03466796875
4,1515.765869140625,449,
4,1078.416015625,499,
4,,544,1073.17431640625
5,890.3090209960938,549,
5,2624.54443359375,599,
5,2545.35888671875,649,
5,,653,5118.974609375
6,1004.75927734375,699,
6,1282.8287353515625,749,
6,,762,993.611572265625
7,1072.5440673828125,799,
7,4720.2705078125,849,
7,,871,1716.3140869140625
8,2092.8173828125,899,
8,1654.3916015625,949,
8,,980,2303.306884765625
9,764.2067260742188,999,
9,1111.774658203125,1049,
9,,1089,1022.6213989257812
