epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.6567,0.86884,4.02554,1.21326,0.32844,0.37855,0.31744,0.25157,0.81569,2.04916,1.18085,0.000174937,0.000174937,0.000174937
2,94.8106,0.76963,2.96029,1.08773,0.4456,0.52975,0.48832,0.40437,0.77615,1.63948,1.09355,0.000315593,0.000315593,0.000315593
3,129.503,0.73666,2.27299,1.06017,0.63429,0.60213,0.65163,0.53688,0.76791,1.28625,1.07644,0.000421534,0.000421534,0.000421534
4,163.87,0.71484,1.76944,1.04044,0.7103,0.68825,0.74696,0.63045,0.72362,1.0216,1.03936,0.000369778,0.000369778,0.000369778
5,198.617,0.67824,1.40097,1.01921,0.80412,0.69081,0.78633,0.65898,0.69942,0.94282,1.04275,0.000317704,0.000317704,0.000317704
6,232.611,0.64085,1.17309,0.98972,0.83096,0.77824,0.85467,0.72145,0.66405,0.75789,1.01068,0.00026563,0.00026563,0.00026563
7,266.777,0.62596,1.00135,0.98434,0.89785,0.79004,0.88225,0.74904,0.64624,0.67159,0.99675,0.000213556,0.000213556,0.000213556
8,301.553,0.60022,0.88649,0.97426,0.91623,0.8254,0.90807,0.77496,0.64388,0.61355,0.99885,0.000161482,0.000161482,0.000161482
9,335.943,0.58161,0.80734,0.96384,0.94584,0.81968,0.91796,0.7827,0.63205,0.56491,0.98196,0.000109408,0.000109408,0.000109408
10,371.397,0.56358,0.75424,0.94842,0.94233,0.84456,0.9221,0.7905,0.61576,0.53533,0.97226,5.7334e-05,5.7334e-05,5.7334e-05
