epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.091,0.84768,3.42145,1.19163,0.23345,0.41579,0.24986,0.19649,0.7704,1.98375,1.09977,0.000174937,0.000174937,0.000174937
2,71.886,0.77693,2.55808,1.10692,0.31249,0.56133,0.40406,0.32419,0.74372,1.72684,1.07049,0.000332932,0.000332932,0.000332932
3,106.583,0.76507,2.17315,1.09411,0.45041,0.60588,0.52856,0.43211,0.73733,1.42188,1.0695,0.000473569,0.000473569,0.000473569
4,140.667,0.72167,1.82979,1.06398,0.5484,0.61987,0.62259,0.517,0.7255,1.28727,1.05949,0.000447889,0.000447889,0.000447889
5,175.196,0.69754,1.55538,1.05109,0.82343,0.5893,0.75001,0.63039,0.69982,0.98572,1.04064,0.000421852,0.000421852,0.000421852
6,209.088,0.68112,1.40443,1.03795,0.78143,0.75428,0.8278,0.70111,0.67443,0.86465,1.00628,0.000395815,0.000395815,0.000395815
7,243.778,0.65675,1.2621,1.02336,0.84241,0.74779,0.84327,0.71719,0.65401,0.82949,0.99497,0.000369778,0.000369778,0.000369778
8,278.058,0.65094,1.1475,1.02539,0.85889,0.77946,0.85716,0.72184,0.66441,0.73521,0.99626,0.000343741,0.000343741,0.000343741
9,312.355,0.63592,1.08751,1.01473,0.90515,0.78351,0.88218,0.75596,0.62995,0.69846,0.98015,0.000317704,0.000317704,0.000317704
10,347.098,0.62837,1.01937,1.01051,0.90157,0.80377,0.89848,0.76295,0.6326,0.63546,0.97899,0.000291667,0.000291667,0.000291667
11,401.766,0.62192,0.78655,0.98548,0.90098,0.83212,0.90409,0.76824,0.65951,0.60543,0.99261,0.00026563,0.00026563,0.00026563
12,435.627,0.59638,0.70997,0.97054,0.93362,0.83282,0.91535,0.77157,0.6392,0.57818,0.97876,0.000239593,0.000239593,0.000239593
13,469.681,0.59634,0.66161,0.96732,0.93113,0.85056,0.91905,0.78054,0.63814,0.52615,0.97721,0.000213556,0.000213556,0.000213556
14,503.36,0.58435,0.64459,0.95663,0.94081,0.83907,0.92577,0.79115,0.60257,0.53322,0.95406,0.000187519,0.000187519,0.000187519
15,537.789,0.56944,0.5918,0.94921,0.94969,0.84831,0.9329,0.79615,0.6112,0.48857,0.959,0.000161482,0.000161482,0.000161482
16,571.674,0.55788,0.56772,0.93826,0.96717,0.85124,0.94381,0.80406,0.59687,0.4594,0.95702,0.000135445,0.000135445,0.000135445
17,604.753,0.54527,0.53612,0.93225,0.95629,0.85243,0.94276,0.81029,0.59061,0.46004,0.94625,0.000109408,0.000109408,0.000109408
18,639.16,0.5479,0.50773,0.92899,0.93189,0.87882,0.94703,0.81074,0.58346,0.44212,0.94918,8.3371e-05,8.3371e-05,8.3371e-05
19,673.821,0.53348,0.49434,0.92816,0.94818,0.88492,0.94921,0.81805,0.58111,0.42665,0.94389,5.7334e-05,5.7334e-05,5.7334e-05
20,708.568,0.528,0.4791,0.92033,0.94401,0.88447,0.95208,0.82181,0.57363,0.41815,0.93813,3.1297e-05,3.1297e-05,3.1297e-05
